iter	RMSE
157	0.4802868106
158	0.4747284457
159	0.4700566624
160	0.4678309936
161	0.4621741303
162	0.4567397655
163	0.4532593632
164	0.4510785266
165	0.4500073025
166	0.4480601495
167	0.4439083287
168	0.4405519069
169	0.4361250832
170	0.4301703374
171	0.4265190818
172	0.4261107147
173	0.4232995318
174	0.4202055905
175	0.4165888584
176	0.4128197288
177	0.4095450451
178	0.4079686659
179	0.4044014578
180	0.4019919766
181	0.3982330196
182	0.3978404042
183	0.3974688333
184	0.3941756007
185	0.3906819667
186	0.3903398647
187	0.3872391644
188	0.3848235436
189	0.3804695795
190	0.3771100753
191	0.3742089116
192	0.3695569299
193	0.3675799142
194	0.3651320559
195	0.3621109817
196	0.3598940576
197	0.3575585296
198	0.356960884
199	0.3531648827
200	0.3509860067
201	0.3479839871
202	0.3463792147
203	0.3424492799
204	0.3420350007
205	0.3397693651
206	0.3374095667
207	0.3344085422
208	0.332896815
209	0.3302427852
210	0.3285420271
211	0.3252664449
212	0.3230648696
213	0.3200272421
214	0.3196675772
215	0.3169450747
216	0.3143866664
217	0.3121231599
218	0.309827675
219	0.3076006248
220	0.3053728096
221	0.3029678715
222	0.3019515617
223	0.2998077887
224	0.2973972549
225	0.2946250296
226	0.2932731164
227	0.2912328398
228	0.2890499644
229	0.2868886434
230	0.2857110679
231	0.2854454537
232	0.2842556372
233	0.2818966789
234	0.279293196
235	0.277339422
236	0.276161411
237	0.2751407964
238	0.2725655751
239	0.271924092
240	0.2698396504
241	0.2688787019
242	0.266178742
243	0.2644403112
244	0.2626711011
245	0.261964288
246	0.26029864
247	0.257678752
248	0.256001945
249	0.2554864216
250	0.2530428514
251	0.2514931978
252	0.2489533574
253	0.2465682375
254	0.2463858092
255	0.2447330966
256	0.2433540965
257	0.2424478864
258	0.2417679351
259	0.2408011095
260	0.2402776882
261	0.2399384592
262	0.238416792
263	0.2379126213
264	0.2365142933
265	0.2355601721
266	0.2342195846
267	0.2338313233
268	0.2319100344
269	0.2304823033
270	0.2291302973
271	0.2278171517
272	0.227271742
273	0.226862517
274	0.2248998385
275	0.2237497288
276	0.222470701
277	0.2216159013
278	0.2208286643
279	0.219995584
280	0.2185260448
281	0.216834362
282	0.2151603681
283	0.2131810084
284	0.2117732683
285	0.2113531266
286	0.2097608523
287	0.2083925165
288	0.206821873
289	0.2054701365
290	0.2045621183
291	0.2023882354
292	0.2009797854
293	0.1999070136
294	0.1991590048
295	0.197965253
296	0.1961764711
297	0.1953194895
298	0.1950834233
299	0.194178799
300	0.1940610241
301	0.1934909033
302	0.1918891555
303	0.1902248339
304	0.1886231708
305	0.1884267322
306	0.1870331606
307	0.1856935995
308	0.1848640486
309	0.1833432847
310	0.1821993104
311	0.1808835425
312	0.1803107759
313	0.1790130201
314	0.1785719213
315	0.1773359522
316	0.1763401766
317	0.1752691696
318	0.1744063644
319	0.1732621588
320	0.1727444573
321	0.1718033872
322	0.1698435094
323	0.1685508864
324	0.1679015894
325	0.1670009578
326	0.1660982427
327	0.1658752787
328	0.1650034651
329	0.1639379096
330	0.1630945766
331	0.162221272
332	0.1610706582
333	0.1597936609
334	0.1589355675
335	0.1585906682
336	0.1577956623
337	0.1563651801
338	0.1558232654
339	0.1554574497
340	0.1542121996
341	0.1533464633
342	0.1527892515
343	0.1519476915
344	0.1513190149
345	0.1504442906
346	0.1495755379
347	0.1487282462
348	0.1481135687
349	0.1475617762
350	0.1474400719
351	0.1468240822
352	0.1457008691
353	0.1444968299
354	0.1433663602
355	0.1427602088
356	0.1414940428
357	0.1408760555
358	0.1401090693
359	0.1395146549
360	0.1384805069
361	0.13801497
362	0.1378515797
363	0.1372713136
364	0.1362606251
365	0.1356678459
366	0.1352645752
367	0.1347404299
368	0.1341907453
369	0.1335012844
370	0.1328543275
371	0.1324228136
372	0.1321930042
373	0.1312309757
374	0.130312853
375	0.1294323247
376	0.1289277378
377	0.1283824267
378	0.1278837728
379	0.1270857573
380	0.126751732
381	0.1260338508
382	0.1253672737
383	0.1247774334
384	0.1241813103
385	0.1241018264
386	0.1233073176
387	0.1227715919
388	0.1220895561
389	0.1211552707
390	0.1204823954
391	0.119667738
392	0.1191146727
393	0.1183994759
394	0.1179078728
395	0.1174336826
396	0.1172494681
397	0.117030659
398	0.1161135915
399	0.1155328742
400	0.1148643384
401	0.1144365643
402	0.1134979158
403	0.1129512669
404	0.1122943005
405	0.1112969022
406	0.1112312781
407	0.1110230816
408	0.1106267394
409	0.1100643857
410	0.1097008041
411	0.1092249632
412	0.1091353207
413	0.1087453756
414	0.1080373091
415	0.1079248384
416	0.1078392538
417	0.1077666844
418	0.1070640022
419	0.107001351
420	0.1065523226
421	0.1058461735
422	0.1050698871
423	0.1044094372
424	0.1040340121
425	0.1033156696
426	0.1027826778
427	0.1026852693
428	0.1021991052
429	0.1018685082
430	0.1012036558
431	0.100798572
432	0.1000310431
433	0.09922301975
434	0.09864579175
435	0.09798877846
436	0.09775520252
437	0.09738517229
438	0.09722843346
439	0.09691413176
440	0.0963773396
441	0.09603015933
442	0.09589327371
443	0.09512946198
444	0.09477264052
445	0.09445720698
446	0.09405949885
447	0.09357938392
448	0.09303677482
449	0.09272437667
450	0.09220934369
451	0.09156532193
452	0.09097016424
453	0.09048796556
454	0.09009236398
455	0.08959704272
456	0.08932154634
457	0.08894373666
458	0.08826882909
459	0.08766287762
460	0.08716665394
461	0.08640069263
462	0.08613308088
463	0.08572890222
464	0.08543937784
465	0.08501726014
466	0.08493257716
467	0.0845805385
468	0.08408433473
469	0.08401726705
470	0.08373400595
471	0.08331143126
472	0.08306740782
473	0.08280424048
474	0.08206252782
475	0.08169059573
476	0.08117279386
477	0.08106862695
478	0.08073707813
479	0.08030055905
480	0.08025020701
481	0.07973293159
482	0.0791415826
483	0.07902810461
484	0.07863751282
485	0.07841249145
486	0.0778848032
487	0.07762508566
488	0.07747169322
489	0.07690605764
490	0.07663804784
491	0.07627870571
492	0.07579698036
493	0.07561117097
494	0.0755329342
495	0.07506061426
496	0.07469460481
497	0.07445436309
498	0.0742449324
499	0.07410503412
500	0.07390409901
501	0.07358359658
502	0.0733555419
503	0.0732939454
504	0.07303366183
505	0.07289941291
506	0.07242374744
507	0.07202375451
508	0.07181057246
509	0.07150655753
510	0.07139015792
511	0.0710618194
512	0.07083348044
513	0.0706333556
514	0.07012008066
515	0.06988571825
516	0.06951836259
517	0.06944264337
518	0.06900067586
519	0.0686562299
520	0.06830886446
521	0.06797620277
522	0.06754868268
523	0.06731900552
524	0.06699850112
525	0.06645702077
526	0.06623905944
527	0.06615182912
528	0.06578928731
529	0.0653563282
530	0.06486407959
531	0.06480928578
532	0.06428317938
533	0.06382195246
534	0.06358941811
535	0.06353922714
536	0.06325884763
537	0.06287398668
538	0.06269370267
539	0.06235350073
540	0.06211974623
541	0.0617437128
542	0.06153445631
543	0.06135516132
544	0.0611408693
545	0.06095916253
546	0.06076605184
547	0.06046985331
548	0.06022483535
549	0.05995732371
550	0.05964864455
551	0.05935560259
552	0.05909567867
553	0.05876846493
554	0.05840723977
555	0.05809279639
556	0.05784984094
557	0.05773854226
558	0.05734757876
559	0.05685240827
560	0.05665324342
561	0.05662376664
562	0.05626908462
563	0.05617234953
564	0.05597291121
565	0.05567536503
566	0.05530133526
567	0.05484691868
568	0.05467227383
569	0.05436325256
570	0.05415027492
571	0.05378255129
572	0.05375039994
573	0.05362758844
574	0.05337664524
575	0.05302007728
576	0.05272465494
577	0.05263386696
578	0.05237398729
579	0.05230559903
580	0.0521614521
581	0.05189894981
582	0.0517370215
583	0.05138960622
584	0.05114956462
585	0.05110314203
586	0.05103790975
587	0.05077075729
588	0.05060332473
589	0.05049183401
590	0.05031953886
591	0.0501595918
592	0.04975727741
593	0.04973036328
594	0.04948949333
595	0.04919317432
596	0.04912938494
597	0.04905005396
598	0.04865680931
599	0.0483587524
600	0.04818784882
601	0.04800690512
602	0.0478864579
603	0.04773695428
604	0.04771659248
605	0.04749485154
606	0.04746551602
607	0.04736741666
608	0.04727510588
609	0.04721659796
610	0.04702671106
611	0.0468894681
612	0.04670541623
613	0.04655380867
614	0.04648571121
615	0.04633838889
616	0.0460842247
617	0.04606322266
618	0.0459369679
619	0.04586662377
620	0.04584971871
621	0.04583502153
622	0.04568852223
623	0.04547052002
624	0.04543736357
625	0.04541958236
626	0.04521779688
627	0.04517708934
628	0.04502238275
629	0.04494608778
630	0.04481826597
631	0.04464133558
632	0.04453665752
633	0.04440059157
634	0.04415130387
635	0.04383148024
636	0.04366863801
637	0.04350013967
638	0.04316483023
639	0.0429752192
640	0.04265800865
641	0.04243068396
642	0.04238388553
643	0.04228983976
644	0.04202178758
645	0.04174977751
646	0.04136681588
647	0.04110743641
648	0.04102972278
649	0.04098822093
650	0.04090083745
651	0.04083634651
652	0.04069592621
653	0.04037295676
654	0.04033702526
655	0.04027606293
656	0.04020514366
657	0.04009727567
658	0.03994835914
659	0.03967177077
660	0.03953087061
661	0.03938607097
662	0.03925810202
663	0.03906950672
664	0.03900604805
665	0.03882176691
666	0.03863688262
667	0.03840479149
668	0.03813230931
669	0.03802185532
670	0.03800358697
671	0.03776911341
672	0.03773332316
673	0.03771803137
674	0.03762079552
675	0.03748342947
676	0.03742471776
677	0.03729486834
678	0.03724420179
679	0.03703255942
680	0.0369286077
681	0.03683106707
682	0.03680632377
683	0.03658186756
684	0.03648159177
685	0.03635740183
686	0.03606009081
687	0.03582875274
688	0.0355390335
689	0.03528150776
690	0.03497493493
691	0.03482518746
692	0.03462062643
693	0.03441194548
694	0.03419623326
695	0.03391888247
696	0.03390674749
697	0.03372609236
698	0.03361230472
699	0.0334698895
700	0.03341713584
701	0.03337347536
702	0.03334532052
703	0.03318303619
704	0.03312724343
705	0.03304295877
706	0.03283001935
707	0.03268556484
708	0.03248733291
709	0.03240140161
710	0.03233280899
711	0.03220316849
712	0.03203490127
713	0.03183903716
714	0.03175408787
715	0.03171947777
716	0.03154097893
717	0.03145346385
718	0.03124307084
719	0.03110552232
720	0.03094840128
721	0.03083757177
722	0.03070939979
723	0.03052153415
724	0.03044908689
725	0.03020527798
726	0.03008663415
727	0.0298801166
728	0.02982781626
729	0.02961224863
730	0.02958929343
731	0.02951332942
732	0.02946672259
733	0.02940098793
734	0.02931177852
735	0.02922005887
736	0.02901693676
737	0.02888303713
738	0.02878866621
739	0.02867471795
740	0.02862451934
741	0.02848692034
742	0.02830321325
743	0.02828694529
744	0.02814456614
745	0.02805395528
746	0.02799703486
747	0.02788848521
748	0.02779318056
749	0.02768455385
750	0.02757424632
751	0.02747441335
752	0.02735711676
753	0.02728395565
754	0.02723765449
755	0.02717177458
756	0.02714959679
757	0.02699032023
758	0.02682303677
759	0.02681562416
760	0.02667301479
761	0.02652674735
762	0.02651016325
763	0.0263886539
764	0.0263650742
765	0.02621207794
766	0.0260657825
767	0.02585583586
768	0.0256954238
769	0.02562568962
770	0.02561525561
771	0.02542048356
772	0.02535143013
773	0.02528634052
774	0.02517671116
775	0.02511643266
776	0.02510111887
777	0.02493863944
778	0.02488977015
779	0.02468458014
780	0.02457259837
781	0.02455872441
782	0.02448792066
783	0.02433469063
784	0.02425871006
785	0.0242126786
786	0.02417523207
787	0.0240730913
788	0.02403976721
789	0.02393754316
790	0.02386077388
791	0.02379924237
792	0.02366595725
793	0.02356794541
794	0.02350715783
795	0.02338749161
796	0.02334617253
797	0.02332873053
798	0.0232327631
799	0.02314987013
800	0.02307148432
801	0.02296161803
802	0.02285825839
803	0.02279807733
804	0.02262811759
805	0.02252126942
806	0.02245824394
807	0.02235208335
808	0.02222855079
809	0.02212577332
810	0.02205967047
811	0.02198602243
812	0.02185633028
813	0.02180008529
814	0.02165893301
815	0.02160046611
816	0.02153742182
817	0.0214518596
818	0.02135788595
819	0.02131234276
820	0.0212654479
821	0.02122386708
822	0.02115086272
823	0.02109533286
824	0.02103123633
825	0.02095710944
826	0.02088095279
827	0.02083486388
828	0.02077484195
829	0.02072512175
830	0.02063633333
831	0.02053379542
832	0.02040655106
833	0.02033717992
834	0.02019416423
835	0.02008394253
836	0.0200710044
837	0.02002090948
838	0.01996575801
839	0.01995814491
840	0.01988384538
841	0.01981650296
842	0.01972675324
843	0.01964976935
844	0.01959875915
845	0.01959094281
846	0.01952561171
847	0.01946428766
848	0.01932840284
849	0.01929178454
850	0.01926649808
851	0.01915829441
852	0.019047526
853	0.01889942889
854	0.01881029197
855	0.01867640646
856	0.01856365939
857	0.01853490852
858	0.01843057497
859	0.01842141887
860	0.01828942883
861	0.01821844682
862	0.01819725988
863	0.0181616533
864	0.01808023119
865	0.01803419263
866	0.0179653233
867	0.01788489985
868	0.01777924432
869	0.01773516854
870	0.01760423003
871	0.01749230361
872	0.01742924964
873	0.01739026062
874	0.01732516141
875	0.01723510602
876	0.01722794753
877	0.01711683611
878	0.01710806961
879	0.01700773124
880	0.01689603321
881	0.01689262181
882	0.01677692194
883	0.01675703492
884	0.01667885614
885	0.01658702495
886	0.01653416846
887	0.01652663084
888	0.01647014697
889	0.01635685323
890	0.01624817178
891	0.01621156293
892	0.01616484697
893	0.01610615544
894	0.0160587712
895	0.01602568757
896	0.01597303947
897	0.01588882801
898	0.01583240584
899	0.01581128169
900	0.01579129327
901	0.01575361415
902	0.01565940727
903	0.01564946184
904	0.01553059762
905	0.01541735874
906	0.01538489074
907	0.01531924642
908	0.01528130919
909	0.01524156686
910	0.01522940256
911	0.01515576484
912	0.01510115102
913	0.01505994907
914	0.0149990151
915	0.01495666636
916	0.0149223298
917	0.01479644793
918	0.01468786005
919	0.01465264574
920	0.01458501989
921	0.01453603219
922	0.01446887946
923	0.01440788979
924	0.01438388366
925	0.01426147786
926	0.01420709731
927	0.01414674157
928	0.01407349221
929	0.01401233366
930	0.01394006019
931	0.01391488627
932	0.01388663135
933	0.01384545864
934	0.01382197744
935	0.0137558147
936	0.01369650515
937	0.0136661678
938	0.01361028574
939	0.01352530676
940	0.01350168292
941	0.01343439639
942	0.01341995225
943	0.01336253337
944	0.01335458557
945	0.01329291249
946	0.01328691157
947	0.01328152333
948	0.0132055716
949	0.0131561292
950	0.01309844297
951	0.01307632094
952	0.01302144682
953	0.01290943923
954	0.01290685128
955	0.01282408131
956	0.01272799925
957	0.01269560497
958	0.01266124808
959	0.01256562349
960	0.01247478243
961	0.01246517539
962	0.0124624061
963	0.01244127506
964	0.01237754659
965	0.01232539682
966	0.01228590884
967	0.01221369957
968	0.01220310795
969	0.01216657796
970	0.01214876736
971	0.0121190953
972	0.01209901615
973	0.0120876503
974	0.01202075476
975	0.01196949854
976	0.01193975224
977	0.01193383583
978	0.01187878827
979	0.01187620422
980	0.01186434021
981	0.01185268755
982	0.01181298043
983	0.01179069438
984	0.01174725243
985	0.01174066131
986	0.01169790807
987	0.01164286373
988	0.01161844532
989	0.01159616581
990	0.01157524465
991	0.01155041966
992	0.01148626471
993	0.01147909894
994	0.01142279595
995	0.01138013883
996	0.01137576958
997	0.01134092334
998	0.01132533015
999	0.01126893899
