iter	RMSE
0	13.62303658
1	12.62231876
2	11.75472764
3	10.82583045
4	10.03301971
5	9.357861205
6	8.715944106
7	8.206212226
8	7.684836945
9	7.209921662
10	6.718172651
11	6.300392324
12	5.899284185
13	5.551835614
14	5.232768002
15	4.922291625
16	4.66285857
17	4.377052325
18	4.150851018
19	3.929936734
20	3.738377389
21	3.567466203
22	3.394946955
23	3.252403113
24	3.104957657
25	2.971564495
26	2.843216627
27	2.720119931
28	2.60074795
29	2.510494805
30	2.421919034
31	2.33113772
32	2.251454634
33	2.191837579
34	2.116880406
35	2.065079431
36	1.998672485
37	1.939879451
38	1.877238322
39	1.831003037
40	1.772371338
41	1.726003638
42	1.67473351
43	1.629777403
44	1.596736094
45	1.560976973
46	1.52829104
47	1.492031528
48	1.464259238
49	1.437791563
50	1.408469447
51	1.385326458
52	1.367892482
53	1.339066329
54	1.316321633
55	1.297978468
56	1.281896017
57	1.25896417
58	1.246061651
59	1.233121152
60	1.214647143
61	1.19612321
62	1.169079489
63	1.161686065
64	1.150837442
65	1.13720608
66	1.121776055
67	1.104335677
68	1.0830159
69	1.065137844
70	1.059627459
71	1.045879558
72	1.022948106
73	1.01822255
74	1.007776646
75	0.990027141
76	0.9847702938
77	0.9790957988
78	0.9714927719
79	0.9633417008
80	0.9479919106
81	0.9309981676
82	0.9210272157
83	0.9159831295
84	0.9129512431
85	0.9075822133
86	0.9056790989
87	0.9039450256
88	0.8877760378
89	0.869278234
90	0.864896168
91	0.8603226331
92	0.8511245524
93	0.8394705398
94	0.8268021793
95	0.8225687735
96	0.8058151236
97	0.7999295384
98	0.7969060349
99	0.7864438409
100	0.7765782566
101	0.7650717186
102	0.7636279884
103	0.7552184976
104	0.7450849243
105	0.7379717443
106	0.7318316337
107	0.7305360173
108	0.7220241068
109	0.7151176077
110	0.706013905
111	0.6981444574
112	0.6956603194
113	0.686267424
114	0.6852931499
115	0.6844980202
116	0.6781296746
117	0.6754636911
118	0.6698263698
119	0.6574243441
120	0.6565384238
121	0.6495519578
122	0.641206732
123	0.6344666055
124	0.625218913
125	0.6184351917
126	0.613493539
127	0.6065755788
128	0.6057667416
129	0.6037235222
130	0.597480277
131	0.5967511185
132	0.5903943277
133	0.5896713202
134	0.5827744117
135	0.5774706751
136	0.5699043253
137	0.5627585983
138	0.5588245503
139	0.5537531744
140	0.5481945547
141	0.5445212546
142	0.538703729
143	0.5348571567
144	0.5315031247
145	0.5278133812
146	0.5212130866
147	0.5140436704
148	0.5101597733
149	0.5056179584
150	0.5023408681
151	0.496719619
152	0.4934015831
153	0.4913323339
154	0.4892619887
155	0.4868262055
156	0.4811331727
